name,gender,origin,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
aardvark,Male,Europe,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
antelope,Male,Asia,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
bass,Male,South America,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
bear,Male,North America,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
boar,Female,North America,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
buffalo,Female,North America,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
calf,Female,Africa,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
carp,Male,Oceania,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
catfish,Female,Africa,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
cavy,Male,South America,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
cheetah,Female,Asia,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
chicken,Male,South America,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
chub,Female,Africa,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
clam,Female,North America,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
crab,Female,Africa,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
crayfish,Male,Africa,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
crow,Male,North America,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
deer,Female,North America,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
dogfish,Male,Europe,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
dolphin,Female,Africa,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
dove,Female,Europe,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
duck,Female,Oceania,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
elephant,Male,Africa,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
flamingo,Male,Oceania,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
flea,Male,North America,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
frog,Female,Asia,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
frog,Female,North America,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
fruitbat,Male,South America,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
giraffe,Female,North America,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
girl,Female,Europe,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
gnat,Female,Oceania,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
goat,Male,Europe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
gorilla,Female,Oceania,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
gull,Male,Africa,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
haddock,Female,North America,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
